title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Sentidos - Bachata Version","Cosimo, Dimen5ions, DJ Alejandro",Cosimo,BGA471827043,spotify,7gLA7qgvZYL81Q55pYwuPj,201s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/7gLA7qgvZYL81Q55pYwuPj
"Dejenme Llorar",J-Dream,"Dejenme Llorar",TCADU1834081,spotify,02nAMKFrtlGHSrICs9Fhtd,240s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/02nAMKFrtlGHSrICs9Fhtd
Felicidades,"Dustin Richie",Felicidades,usl4r1800917,spotify,5Ia7KtfGKoRuO6spIdZTc9,257s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/5Ia7KtfGKoRuO6spIdZTc9
"Sigo Siendo Tuyo - Bachata Version","Grupo Extra","The Movie (La Verdadera Pelicula - Bachata Is Taking Over)",CH9181800016,spotify,5RUfUcoaI2G8amEcTvQ1nc,234s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/5RUfUcoaI2G8amEcTvQ1nc
"Lo Que Más","Milly Quezada","Aqui Estoy Yo",USBMS1600208,spotify,42t6ThZ8uKeRxcEjKjxz27,235s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/42t6ThZ8uKeRxcEjKjxz27
"Lips on You (Version Bachata)","DJ Khalid","Lips on You (Version Bachata)",TCADZ1807589,spotify,0AFdxNDaar8QuqMmzlYaSQ,225s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/0AFdxNDaar8QuqMmzlYaSQ
"Eres Luz - Bachata Version","OXU & BREY","Eres Luz (Bachata Version)",CH9181800050,spotify,3kTZtPMtT59QiC3H6RcQ0R,206s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/3kTZtPMtT59QiC3H6RcQ0R
"Senales de Humo","Juan Luis Guerra 4.40",Areito,USJ3V1861760,spotify,7dWQuCjkvgGdTaYRYiMkxM,332s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/7dWQuCjkvgGdTaYRYiMkxM
"Estrellitas Y Duendes","Juan Luis Guerra 4.40",Recopilacion,TCAEG1948867,spotify,6tGpEN75fHa4FNPtTMfKsz,267s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/6tGpEN75fHa4FNPtTMfKsz
Quiéreme,"Toby Love",Quiéreme,USASN1900721,spotify,0M9Qr6K4wfoGUDBDgSzXgf,242s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/0M9Qr6K4wfoGUDBDgSzXgf
"El Teléfono",Alexandra,"El Teléfono",US3Z41900310,spotify,6mgMC1eTq17F4lbg7rpTfI,257s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/6mgMC1eTq17F4lbg7rpTfI
